book_id,title
10000009,How to Teach a Slug to Read
1000164,"Honus & Me (A Baseball Card Adventure, #1)"
1000171,Getting Air
1000172,"The Kid Who Became President (Kid President, #2)"
1000173,"Dr. Carbles Is Losing His Marbles! (My Weird School, #19)"
1000174,"Mr. Louie Is Screwy! (My Weird School, #20)"
1000212,Just Us Women
1000339,I Kissed the Baby!
1000591,The Midnight Fox
1000751,"Pollyanna (Pollyanna, #1)"
1000752,Just David
1000919,The Cricket in Times Square
10013649,The Last Martin
1001505,"I Want a Pony (Pony Pals, #1)"
1001506,"A Pony for Keeps (Pony Pals, #2)"
1001508,"Pony-Sitters (Pony Pals, #14)"
1001509,"The Winning Pony (Pony Pals, #21)"
1001520,"The Saddest Pony (Pony Pals, #18)"
1001534,"Stolen Ponies (Pony Pals, #20)"
1001545,"Ponies from the Past (Pony Pals, #31)"
10016989,Friends: True Stories of Extraordinary Animal Friendships
1001896,The Real Mother Goose
1001964,My Place
10019691,RRRalph
1002086,Just a Little Bit
10022297,Apple Pie ABC
1002236,How Big Is a Foot?
1002237,Big Little (Leslie Patricelli board books)
1002339,Marshmallow Magic And The Wild Rose Rouge
1002520,"Coming Home (Heartland, #1)"
1002694,Little Red Riding Hood
1002873,Baby Beluga
100310,"Happy Birthday, Josefina!: A Springtime Story (American Girls: Josefina, #4)"
100317,"Happy Birthday, Kit: A Springtime Story (American Girls: Kit, #4)"
1003181,Ben's Dream
100330,Henry Reed's Babysitting Service
1003642,"Witches Don't Do Backflips (The Adventures of the Bailey School Kids, #10)"
1003725,"Comet in Moominland (The Moomins, #2)"
100394,"Wizardology (Ologies, #3)"
100395,The Wizardology Handbook: A Course for Apprentices
100396,Dragonology Tracking and Taming Dragons Volume 1: A Deluxe Book and Model Set: European Dragon
100397,The Dragonology Handbook: A Practical Course in Dragons
100405,That's Not My Dragon
1004183,A Dog Called Kitty
1004335,"The Worst Witch Saves the Day (Worst Witch, #5)"
10043441,Saving Audie: A Pit Bull Puppy Gets a Second Chance
100448,"One Beastly Beast: Two Aliens, Three Inventors, Four Fantastic Tales"
1004513,"Little Town on the Prairie (Little House, #7)"
100471,The Giant Hug
10047243,Hound Dog True
100477,The Trolls
100479,D'Aulaires' Book of Trolls
100480,Trouble with Trolls
10048091,Fandango Stew
10049397,"The African Safari Discovery (Flat Stanley's Worldwide Adventure, #6)"
10050155,The Golden Acorn
10050175,The Elephant Scientist (Scientist in the Field Series)
10052464,The Great Race
10052694,Dancing Home
1005587,The Shrinking of Treehorn
1005680,"Basil of Baker Street (Basil of Baker Street, #1)"
1005760,"The Private Notebook of Katie Roberts, Age 11"
100615,Are All the Giants Dead?
100616,The Winter Child
1006176,Beach Day!
10062358,Scary School
1006442,"Tales of the Kingdom (Tales of the Kingdom, #1)"
10065,Wayside School Is Falling Down (Wayside School #2)
10066125,"Me! (Just Like You, Only Better) (Dear Dumb Diary #12)"
10066963,Porcupette Finds a Family
1006821,"Clockwork, Or, All Wound Up"
1007394,Rainstorm
1007647,Across the Alley
1007759,Five Little Monkeys Jumping on the Bed
1007761,Mr. Noisy
1007870,Leepike Ridge
1007954,"Hawkeye Collins & Amy Adams in The Case of the Video Game Smugglers & Other Mysteries (Can You Solve the Mystery?, #3)"
1007972,Magical Melons
1008056,"Anastasia's Chosen Career (Anastasia Krupnik, #7)"
100806,Peter Spier's Rain
10081010,"Peter and the Starcatchers (Peter and the Starcatchers, #1)"
10081966,Number the Stars
1008299,Plain Girl
1008301,"Second Time's the Charm (Camp Confidential, #7)"
1008587,Christmas Trolls
1008631,Miss Malarkey Leaves No Reader Behind
1008905,McDuff Moves In
1008980,Kindergarten Rocks!
10092689,Mary Poppins
101001,"The Secret of Shadow Ranch (Nancy Drew, #5)"
1010202,Finklehopper Frog
10103033,"Kitty Cat, Kitty Cat, Are You Going to Sleep?"
10104467,The Loopy Coop Hens
1010609,The Lady and the Lion: A Brothers Grimm Tale
10108833,Time to Eat
1010942,Attack of the Prehistoric Pokemon (Pokemon Chapter Book #3)
1010984,The Official Pokémon Handbook
1011264,Stormy Night
10114429,Louise the Big Cheese and the Back-to-School Smarty-Pants
10118,Saint George and the Dragon
1011810,Up on Cloud Nine
1011825,Love and Roast Chicken: A Trickster Tale from the Andes Mountains
10118463,"Truth or Dare (You're Invited to a Creepover, #1)"
10118464,"Ready for a Scare? (You're Invited to a Creepover, #3)"
10119,Curious George Goes Camping
1012082,Apples and Pumpkins
1012167,101 Dalmatians
1012180,Five Little Pumpkins
1012276,Peter Pan
1012312,"Ella The Rose Fairy (Rainbow Magic: Petal Fairies, #7)"
1012313,"Olivia the Orchid Fairy (Rainbow Magic: Petal Fairies, #5)"
1012314,"Pippa the Poppy Fairy (Rainbow Magic: Petal Fairies, #2)"
1012315,"Tia the Tulip Fairy (Rainbow Magic, #43; Petal Fairies, #1)"
1012316,"Charlotte The Sunflower Fairy (Rainbow Magic: Petal Fairies, #4)"
1012318,"Katie the Kitten Fairy (Rainbow Magic: Pet Keeper Fairies, #1)"
1012319,"Lucy the Diamond Fairy (Rainbow Magic: Jewel Fairies, #7)"
1012325,Cowlick!
1012334,Albert
1012343,Whispering to Witches
1012351,"The Secret of Castle Cant: Being an Account of the Remarkable Adventures of Lucy Wickwright, Maidservant and Spy"
1012363,Pirate Mom
1012367,I Love My Pirate Papa
1012371,Smart Dog
1012564,"Bigfoot Doesn't Square Dance (The Adventures of the Bailey School Kids, #25)"
1012793,Hotel for Dogs
1012824,Castaway Cats
1012975,The Meanwhile Adventures
10130220,Thea Stilton and the Star Castaways (Thea Stilton #7)
1013168,The Rainbabies
10132221,"Applewhites at Wit's End (Applewhites, #2)"
10132570,"The Austere Academy (A Series of Unfortunate Events, #5)"
10132968,"The Bad Beginning  (A Series of Unfortunate Events, #1)"
1013382,The Snail and the Whale
1013383,The Gruffalo
10135569,"The Miserable Mill (A Series of Unfortunate Events, #4)"
10135768,"The Reptile Room  (A Series of Unfortunate Events, #2)"
10135940,The Umbrella
10137919,The Cat That Walked by Himself: And Other Stories
1014090,The Hundred Dresses
10146306,The Secret Box
10146355,Clementine
10146362,Owl Howl
10147954,Cinderella Smith
10148269,Curiosity Killed the Cat (Poison Apple #7)
1014950,A Girl and Her Gator
10149652,Water Balloon
1014978,Gator
10149891,Dog in Charge
10150760,Al Pha's Bet
1015148,Please Mrs Butler
1015977,Fire Engine Man
1016156,"The Mystery of the Moaning Cave (Alfred Hitchcock and The Three Investigators, #10)"
1016160,Alfred Hitchcock and the Three Investigators Series
1016162,"The Mystery of the Laughing Shadow (Alfred Hitchcock and the Three Investigators, #12)"
1016425,Who's in Rabbit's House?: A Masai Tale
1016645,Zoo In The Sky: A Book of Animal Constellations
10166857,"The Hostile Hospital (A Series of Unfortunate Events, #8)"
101672,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe Chapter Book Box Set"
10167712,Diego Rivera: His World and Ours
10168924,Blackout
10169954,The Ugly Duckling Dinosaur: A Prehistoric Tale
10170000,The Quite Contrary Man: A True American Tale
10170075,A Mango in the Hand: A Story Told Through Proverbs
101701,The Chronicles of Narnia Pop-up: Based on the Books by C. S. Lewis
101703,"The Voyage of the Dawn Treader (Chronicles of Narnia, #5)"
10174316,Little Red Hood
10176020,A Call for a New Alphabet
10176095,Τα στενά παπούτσια
10178007,Bigger than a Bread Box
1017879,Cages
1017881,The Mysterious Matter of I. M. Fine
10179672,"The Wide Window (A Series of Unfortunate Events, #3)"
10180839,The Goodbye Cancer Garden
10182327,I Am the Book
1018241,Wild Robert
1018246,Stopping for a Spell
10182711,"The Ersatz Elevator  (A Series of Unfortunate Events, #6)"
1018277,Santa Claus the World's Number One Toy Expert
1018278,McDuff's New Friend
10185434,Energy Island: How one community harnessed the wind and changed their world
1018609,Amy's Journal
1018729,Blaze Shows the Way
10191505,My Farm Friends
10192378,"Starp mums, meitenēm, runājot... un citi stāsti"
10192902,Loon Baby
10192951,Pig Kahuna
10196176,Chirchir Is Singing
10196305,Mine!
10196347,The Croaky Pokey!
10199173,First Garden: The White House Garden and How It Grew
1019986,The Heavenly Village
10200182,Mi planta de naranja-lima
10200420,Planting the Wild Garden
10200427,"Kindergators: Hands Off, Harry!"
10201508,Time to Sleep
10201943,"Happy Valentine's Day, Curious George"
1020284,This Little Chick
1020446,The Itsy Bitsy Spider
10204844,"Toys Come Home: Being the Early Experiences of an Intelligent Stingray, a Brave Buffalo, and a Brand-New Someone Called Plastic (Toys, #3)"
10205305,New Red Bike!
10206556,Huck Runs Amuck!
1020674,Boy Overboard
1020689,Bumface
1020716,Sticky Beak
1020887,The Lost Flower Children
1021192,"Under Town (Edgar & Ellen, #3)"
1021196,"Tourist Trap (Edgar & Ellen, #2)"
1021197,"Pet's Revenge (Edgar & Ellen, #4)"
10212926,The Sunflower Sword
1021521,Little Quack's Bedtime
10215218,My Mom Has X-Ray Vision
1021698,The Balloon Tree
10218713,"Back to School, Splat!"
10220941,"Dogs in the Dead of Night (Magic Tree House, #46)"
1022159,The Market Square Dog
1022877,The Story of Frog Belly Rat Bone
1022883,The Scarecrow and His Servant
10236405,"Voyage with the Vikings (Imagination Station, #1)"
10237568,"Your Fantastic Elastic Brain Stretch It, Shape It"
1024465,Whistle for Willie
1024525,"Nellie's Promise (American Girls: Samantha, #7)"
10246290,When a Dragon Moves In
10246317,Wonder Woman: The Story of the Amazon Princess
10246342,Soccer Hour
10246569,Every Cowgirl Needs Dancing Boots
10246607,"To Market, to Market"
10246638,The Babies on the Bus
10246707,Dino Pets Go to School
10246762,Doodleday
10246769,Dog in Boots
