book_id,work_id
10000009,14894987
1000164,1252997
1000171,985662
1000172,985663
1000173,985664
1000174,985665
1000212,3342597
1000339,985830
1000591,1217396
1000751,1099715
1000752,986243
1000919,25246
10013649,14908938
1001505,661699
1001506,661700
1001508,986999
1001509,987000
1001520,987011
1001534,987025
1001545,987036
10016989,14912330
1001896,818039
1001964,987454
10019691,14915102
1002086,987576
10022297,14917750
1002236,987726
1002237,564297
1002339,987829
1002520,988013
1002694,988184
1002873,896660
100310,1157376
100317,96726
1003181,1045360
100330,3188880
1003642,989132
1003725,1760649
100394,96799
100395,96800
100396,96801
100397,96802
100405,725529
1004183,2544058
1004335,2919091
10043441,14939253
100448,1178644
1004513,2299540
100471,96871
10047243,14943153
100477,1859684
100479,96878
100480,190540
10048091,14944013
10049397,14945365
10050155,14946135
10050175,14946155
10052464,14948484
10052694,14948730
1005587,991713
1005680,2291919
1005760,991886
100615,97013
100616,97014
1006176,992302
10062358,14958621
1006442,992568
10065,551030
10066125,14962539
10066963,14963400
1006821,3084097
1007394,993520
1007647,993773
1007759,1970335
1007761,701349
1007870,2285721
1007954,994080
1007972,1231596
1008056,1277004
100806,1979890
10081010,1625130
10081966,2677305
1008299,994425
1008301,994427
1008587,994713
1008631,994757
1008905,3372216
1008980,995106
10092689,2768848
101001,3030647
1010202,996326
10103033,15000214
10104467,15001692
1010609,996733
10108833,15006142
1010942,1584300
1010984,997108
1011264,997388
10114429,15011958
10118,2042811
1011810,245326
1011825,1305470
10118463,15016055
10118464,15016056
10119,490474
1012082,2175272
1012167,47355752
1012180,998304
1012276,1358908
1012312,998436
1012313,998437
1012314,998438
1012315,998439
1012316,998440
1012318,1797707
1012319,1423704
1012325,998449
1012334,998458
1012343,998467
1012351,1948587
1012363,998487
1012367,998491
1012371,998495
1012564,998688
1012793,998917
1012824,998948
1012975,1568854
10130220,15028086
1013168,999292
10132221,15030119
10132570,1165972
10132968,1069597
1013382,1137246
1013383,999507
10135569,1209957
10135768,888312
10135940,15033907
10137919,44309
1014090,1000219
10146306,15044569
10146355,15044618
10146362,15044625
10147954,15046259
10148269,15046578
1014950,1001075
10149652,15047981
1014978,1001103
10149891,15048228
10150760,15049105
1015148,1001273
1015977,1002102
1016156,1002281
1016160,1002285
1016162,84539
1016425,2856883
1016645,1002769
10166857,2361348
101672,55506776
10167712,15066460
10168924,15067694
10169954,15068739
10170000,15068785
10170075,15068861
101701,41901727
101703,3349054
10174316,15073138
10176020,15074868
10176095,15074944
10178007,15076892
1017879,530820
1017881,1004005
10179672,1168377
10180839,15079804
10182327,15081327
1018241,1004381
1018246,1004370
10182711,1168344
1018277,1004401
1018278,1004402
10185434,15084476
1018609,1004733
1018729,1004853
10191505,15090624
10192378,15091509
10192902,15092050
10192951,15092099
10196176,15095373
10196305,15095505
10196347,15095548
10199173,15098397
1019986,1954480
10200182,186149
10200420,15099669
10200427,15099676
10201508,15100800
10201943,15101243
1020284,1006411
1020446,1932304
10204844,15104206
10205305,15104674
10206556,15105940
1020674,1779364
1020689,1006816
1020716,1304744
1020887,2985172
1021192,1007319
1021196,1007323
1021197,1007324
10212926,15112421
1021521,1007649
10215218,15114774
1021698,1968790
10218713,15118333
10220941,15120622
1022159,1008286
1022877,2683835
1022883,2385813
10236405,15136395
10237568,15137568
1024465,1010703
1024525,1010763
10246290,15146392
10246317,15146420
10246342,15146445
10246569,15146673
10246607,15146711
10246638,15146742
10246707,15146812
10246762,15146867
10246769,15146874
10246875,15146981
10246930,15147036
10246952,15147058
10247033,15147139
10247104,15147211
10247185,15147297
10247235,15147347
10247243,15147355
102490,98816
1024901,41926
10249031,2677305
102493,98819
102501,98827
10250808,15150969
10251668,15151835
1025223,24981
1025248,26517868
1025249,1011488
1025251,155030
1025319,1279203
10253286,15153480
1025560,742307
1025616,1011860
10256860,15157139
10257939,15158232
102606,98927
1026220,1745549
10264066,15164445
10264090,15164468
10264125,15164503
10264129,15164507
1026503,1012748
10269348,1384549
1026971,2988564
1026979,1013228
10269888,15170359
1027175,1013424
1027293,1754623
1027297,2258658
1027298,2723569
1027380,1013630
10276778,15177379
1027746,2056462
1027760,1092326
10278095,15178852
1027894,1014145
10284324,15185732
10284337,15185747
1028532,316498
1028594,1014847
1028659,1014912
10289104,15190920
1029036,1015291
1029142,1015397
1029144,1015399
10292017,15193868
10292225,15194076
10292643,15194494
1029405,1015660
10295388,15197270
10298153,15200080
10298173,15200100
10301573,15203552
10301902,15203885
1030208,1016465
1030395,1016652
10304534,15206554
1030609,1016866
1030635,1016892
10306788,15208897
10307360,13340420
10307396,15209512
10307397,15209513
10307426,15209542
1030796,1017053
10308994,15211149
10312415,15214642
10313354,15215610
1031461,1017724
10316057,15218364
10316626,15218949
10317571,15219909
1032414,1018693
1032415,1018694
1032418,1018697
1032479,1018771
10326007,15228457
1032674,2958741
10327441,15229905
1032747,11181
1032762,4132
